index,name,type,quantity,details
Space 1,Garden,facility,1,
Space 1,Canal Mooring,facility,10,
Space 1,Electricity point,facility,15,
Space 1,MicroHuts,facility,2,
Space 1,Children’s play area,facility,2,
Space 1,Making tools,general,20,
Space 1,Outdoor speaker system,audio,1,
Space 1,Gardening tools,general,30,
Space 1,Foldable seating,general,50,
Space 2,Paddling pool,facility,2,
Space 2,Sand pit,facility,2,
Space 2,Slide,facility,1,
Space 2,Toilet,facility,1,
Space 2,Garden,facility,1,
Space 2,Kitchenette,facility,1,
Space 2,Tables (for children),general,5,
Space 2,Chairs (for children),general,10,
Space 2,Toys,general,20,
